word,hamilton_count,madison_count,hamilton_per_1000,madison_per_1000,ratio,difference
among,46,44,0.40698600322049794,1.07369448511469,0.3790519639085457,0.666708481894192
general,138,77,1.2209580096614938,1.8789653489507077,0.6498033667003639,0.6580073392892138
kind,77,1,0.681259179303877,0.024402147388970227,27.918001167872884,0.6568570319149069
judiciary,42,42,0.37159591598393293,1.0248901903367498,0.3625714437386088,0.6532942743528168
representatives,59,48,0.5220037867393343,1.171303074670571,0.44566073292870667,0.6492992879312367
several,76,54,0.6724116574947357,1.3177159590043923,0.5102857356321162,0.6453043015096566
court,95,8,0.8405145718684197,0.1952171791117618,4.30553589439598,0.6452973927566579
same,182,92,1.6102489692637094,2.244997559785261,0.7172608995698567,0.6347485905215515
number,100,61,0.884752180914126,1.488530990727184,0.5943794159649325,0.603778809813058
one,283,127,2.5038486719869764,3.099072718399219,0.807934791952963,0.5952240464122425
into,151,79,1.3359757931803302,1.927769643728648,0.6930163038548093,0.5917938505483178
former,64,47,0.5662413957850406,1.1469009272816009,0.49371430636746727,0.5806595314965602
side,35,36,0.3096632633199441,0.8784773060029283,0.35250001474586967,0.5688140426829842
jury,72,3,0.6370215702581706,0.07320644216691069,8.701714649726611,0.56381512809126
community,68,2,0.6016314830216056,0.04880429477794045,12.327429087112701,0.5528271882436652
majority,45,38,0.39813848141135666,0.9272816007808687,0.4293609202167736,0.5291431193695121
body,159,36,1.4067559676534602,0.8784773060029283,1.6013572098455222,0.5282786616505319
both,59,43,0.5220037867393343,1.04929233772572,0.497481748385533,0.5272885509863856
us,147,32,1.300585705943765,0.7808687164470473,1.6655625696742344,0.5197169894967179
president,94,13,0.8316670500592783,0.317227916056613,2.6216704393407095,0.5144391340026653
very,72,47,0.6370215702581706,1.1469009272816009,0.5554285946634007,0.5098793570234302
laws,129,26,1.1413303133792223,0.634455832113226,1.7989121631646356,0.5068744812659963
plan,128,26,1.1324827915700812,0.634455832113226,1.784967107636228,0.49802695945685527
our,191,49,1.6898766655459807,1.1957052220595412,1.4132886888586589,0.4941714434864395
over,63,42,0.5573938739758993,1.0248901903367498,0.5438571656079132,0.46749631636085043
appointed,11,23,0.09732273990055386,0.5612493899463152,0.17340373396194336,0.4639266500457614
time,160,39,1.4156034894626015,0.9516837481698389,1.4874725896968568,0.4639197412927626
either,135,30,1.19441544423407,0.7320644216691069,1.6315714968237396,0.4623510225649631
republican,28,29,0.24773061065595525,0.7076622742801366,0.3500689801614154,0.45993166362418136
also,35,31,0.3096632633199441,0.7564665690580772,0.4093548558339131,0.4468033057381331
within,47,35,0.41583352502963916,0.8540751586139581,0.48688165302041747,0.43824163358431895
when,110,22,0.9732273990055386,0.536847242557345,1.8128572186930445,0.4363801564481936
thing,63,5,0.5573938739758993,0.12201073694485115,4.568400191106471,0.4353831370310482
necessary,103,55,0.9112947463415497,1.3421181063933627,0.6789974310013946,0.430823360051813
sense,70,8,0.6193265266398882,0.1952171791117618,3.1725001327128277,0.42410934752812635
causes,78,11,0.6901067011130182,0.2684236212786725,2.5709611465101356,0.4216830798343457
officers,38,31,0.3362058287473679,0.7564665690580772,0.44444241490539144,0.4202607403107093
senate,113,24,0.9997699644329623,0.5856515373352855,1.7071072142692831,0.41411842709767677
under,166,77,1.468688620317449,1.8789653489507077,0.7816475280598579,0.4102767286332587
conduct,65,7,0.5750889175941819,0.1708150317227916,3.3667348347156536,0.4042738858713903
forms,18,23,0.15925539256454266,0.5612493899463152,0.2837515646649982,0.40199399738177255
themselves,71,42,0.6281740484490294,1.0248901903367498,0.6129183929866957,0.3967161418877204
